MEASSITEHASH;EQENTRYID;CONTEXTNAME;POSITION;MEASVALUE;PERCENTAGEMEAS;ISVALIDFLAG;INDEXHASH;MEASTIME;SHIFTER;WEBSITEUSERCR
;5384;DP_MESH_FR_HEIGHT_MIN_DT;side_1;5.03;;T;skfh_1;2017-06-03 11:00:00;Giannis;ggiakous
;5384;DP_MESH_FR_HEIGHT_MAX_DT;side_1;5.08;;T;skfh_1;2017-06-03 11:00:00;Giannis;ggiakous
;5384;DP_MESH_FR_HEIGHT_AVG_DT;side_1;5.055;;T;skfh_1;2017-06-03 11:00:00;Giannis;ggiakous
;5384;DP_MESH_FR_HEIGHT_RMS_DT;side_1;0.013;;T;skfh_1;2017-06-03 11:00:00;Giannis;ggiakous
