MEASSITEHASH;EQENTRYID;CONTEXTNAME;MEASVALUE;PERCENTAGEMEAS;ISVALIDFLAG;INDEXHASH;MEASTIME;SHIFTER;WEBSITEUSERCR;MEASCOMMENT;MEASCOMMENTTYPE;EQCOMMENT;EQCOMMENTTYPE;POSITION
;5384;MESH_TENS_AG_MIN_DT;7.7;;T;skfh_1;2017-07-20 13:17:20;Giorgos;ggiakous;;;;;Side 1
;5384;MESH_TENS_AG_MAX_DT;12.1;;T;skfh_1;2017-07-20 13:17:20;Giorgos;ggiakous;;;;;Side 1
;5384;MESH_TENS_AG_AVG_DT;9.7;;T;skfh_1;2017-07-20 13:17:20;Giorgos;ggiakous;;;;;Side 1
;5384;MESH_TENS_AG_RMS_DT;1.14;;T;skfh_1;2017-07-20 13:17:20;Giorgos;ggiakous;;;;;Side 1
